"ETHNICITY","SEX","CAUSE","YEAR_","COUNT_","PERCENT_"
"HISPANIC","FEMALE","SHORT GESTATION/LBW","2007","13","0"
"HISPANIC","FEMALE","VIRAL HEPATITIS","2007","37","1"
"HISPANIC","MALE","ACCIDENTS EXCEPT DRUG POISONING","2007","154","3"
"HISPANIC","MALE","ALZHEIMERS DISEASE","2007","11","0"
"HISPANIC","MALE","AORTIC ANEURYSM AND DISSECTION","2007","21","0"
"HISPANIC","MALE","ASSAULT (HOMICIDE)","2007","114","2"
"HISPANIC","MALE","ATHEROSCLEROSIS","2007","11","0"
"HISPANIC","MALE","BENIGN AND UNCERTAIN NEOPLASMS","2007","20","0"
"HISPANIC","MALE","CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","2007","11","0"
"HISPANIC","MALE","CEREBROVASCULAR DISEASE","2007","126","3"
"HISPANIC","MALE","CHRONIC LIVER DISEASE AND CIRRHOSIS","2007","107","2"
"HISPANIC","MALE","CHRONIC LOWER RESPIRATORY DISEASES","2007","106","2"
"HISPANIC","MALE","CONGENITAL MALFORMATIONS,DEFORMATIONS","2007","29","1"
"HISPANIC","MALE","DIABETES MELLITUS","2007","177","4"
"HISPANIC","MALE","DISEASES OF HEART","2007","1327","29"
"HISPANIC","MALE","ESSENTIAL HYPERTENSION AND RENAL DISEASES","2007","76","2"
"HISPANIC","MALE","HUMAN IMMUNODEFICIENCY VIRUS DISEASE","2007","218","5"
"HISPANIC","MALE","INFLUENZA AND PNEUMONIA","2007","189","4"
"HISPANIC","MALE","INTENTIONAL SELF-HARM (SUICIDE)","2007","56","1"
"HISPANIC","MALE","MALIGNANT NEOPLASMS","2007","1013","22"
"HISPANIC","MALE","MENTAL DISORDERS DUE TO USE OF ALCOHOL","2007","56","1"
"HISPANIC","MALE","NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","2007","39","1"
"HISPANIC","MALE","PARKINSONS DISEASE","2007","7","0"
"HISPANIC","MALE","PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","2007","183","4"
"HISPANIC","MALE","RESPIRATORY DISTRESS OF NEWBORN","2007","7","0"
"HISPANIC","MALE","SEPTICEMIA","2007","31","1"
"HISPANIC","MALE","SHORT GESTATION/LBW","2007","13","0"
"HISPANIC","MALE","VIRAL HEPATITIS","2007","90","2"
"NON-HISPANIC BLACK","FEMALE","ACCIDENTS EXCEPT DRUG POISONING","2007","87","1"
"NON-HISPANIC BLACK","FEMALE","ALZHEIMERS DISEASE","2007","41","1"
"NON-HISPANIC BLACK","FEMALE","ANEMIAS","2007","18","0"
"NON-HISPANIC BLACK","FEMALE","AORTIC ANEURYSM AND DISSECTION","2007","25","0"
"NON-HISPANIC BLACK","FEMALE","ASSAULT (HOMICIDE)","2007","41","1"
"NON-HISPANIC BLACK","FEMALE","ATHEROSCLEROSIS","2007","30","0"
"NON-HISPANIC BLACK","FEMALE","BENIGN AND UNCERTAIN NEOPLASMS","2007","38","1"
"NON-HISPANIC BLACK","FEMALE","CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","2007","16","0"
"NON-HISPANIC BLACK","FEMALE","CEREBROVASCULAR DISEASE","2007","279","4"
"NON-HISPANIC BLACK","FEMALE","CHRONIC LIVER DISEASE AND CIRRHOSIS","2007","33","0"
