"Year","Ethnicity","Sex","Cause_of_Death","Count","Percent"
"2010","-",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","297","5"
"2010","-",,"INFLUENZA AND PNEUMONIA","201","3"
"2010","-",,"INTENTIONAL SELF-HARM (SUICIDE)","64","1"
"2010","-",,"MALIGNANT NEOPLASMS","1540","23"
"2010","-",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","50","1"
"2010","-",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","70","1"
"2010","-",,"PEPTIC ULCER","13","0"
"2010","-",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","111","2"
"2010","-",,"SEPTICEMIA","36","1"
"2010","-",,"SHORT GESTATION/LBW","35","1"
"2010","-",,"VIRAL HEPATITIS","49","1"
"2010","-",,"ACCIDENTS EXCEPT DRUG POISONING","164","1"
"2010","-",,"ALZHEIMERS DISEASE","247","2"
"2010","-",,"AORTIC ANEURYSM AND DISSECTION","22","0"
"2010","-",,"ATHEROSCLEROSIS","74","1"
"2010","-",,"BENIGN AND UNCERTAIN NEOPLASMS","69","1"
"2010","-",,"CEREBROVASCULAR DISEASE","382","3"
"2010","-",,"CHOLELITHIASIS AND DISORDERS OF GALLBLADDER","19","0"
"2010","-",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","67","0"
"2010","-",,"CHRONIC LOWER RESPIRATORY DISEASES","502","4"
"2010","-",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","32","0"
"2010","-",,"DIABETES MELLITUS","258","2"
"2010","-",,"DISEASES OF HEART","5351","40"
"2010","-",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","219","2"
"2010","-",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","24","0"
"2010","-",,"INFLUENZA AND PNEUMONIA","707","5"
"2010","-",,"INTENTIONAL SELF-HARM (SUICIDE)","61","0"
"2010","-",,"MALIGNANT NEOPLASMS","3438","25"
"2010","-",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","16","0"
"2010","-",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","90","1"
"2010","-",,"PARKINSONS DISEASE","55","0"
"2010","-",,"PEPTIC ULCER","22","0"
"2010","-",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","75","1"
"2010","-",,"SEPTICEMIA","107","1"
"2010","-",,"SHORT GESTATION/LBW","14","0"
"2010","-",,"VIRAL HEPATITIS","32","0"
"2010","-",,"ACCIDENTS EXCEPT DRUG POISONING","272","2"
"2010","-",,"ALZHEIMERS DISEASE","94","1"
"2010","-",,"AORTIC ANEURYSM AND DISSECTION","49","0"
"2010","-",,"ASSAULT (HOMICIDE)","25","0"
"2010","-",,"ATHEROSCLEROSIS","46","0"
"2010","-",,"BENIGN AND UNCERTAIN NEOPLASMS","91","1"
"2010","-",,"CEREBROVASCULAR DISEASE","276","2"
"2010","-",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","110","1"
"2010","-",,"CHRONIC LOWER RESPIRATORY DISEASES","388","3"
"2010","-",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","33","0"
"2010","-",,"DIABETES MELLITUS","245","2"
"2010","-",,"DISEASES OF HEART","4495","37"
"2010","-",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","153","1"
"2010","-",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","76","1"
"2010","-",,"INFLUENZA AND PNEUMONIA","614","5"
"2010","-",,"INTENTIONAL SELF-HARM (SUICIDE)","182","1"
"2010","-",,"MALIGNANT NEOPLASMS","3408","28"
"2010","-",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","57","0"
"2010","-",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","119","1"
"2010","-",,"PARKINSONS DISEASE","79","1"
"2010","-",,"PEPTIC ULCER","19","0"
"2010","-",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","211","2"
"2010","-",,"SEPTICEMIA","74","1"
"2010","-",,"SHORT GESTATION/LBW","14","0"
"2010","-",,"VIRAL HEPATITIS","82","1"
"2011","",,"ACCIDENTS EXCEPT DRUG POISONING","44","3"
"2011","",,"ALZHEIMERS DISEASE","24","2"
"2011","",,"ANEMIAS","5","0"
"2011","",,"ASSAULT (HOMICIDE)","6","0"
"2011","",,"BENIGN AND UNCERTAIN NEOPLASMS","11","1"
"2011","",,"CEREBROVASCULAR DISEASE","98","6"
"2011","",,"CHOLELITHIASIS AND DISORDERS OF GALLBLADDER","6","0"
"2011","",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","10","1"
"2011","",,"CHRONIC LOWER RESPIRATORY DISEASES","30","2"
"2011","",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","7","0"
"2011","",,"DIABETES MELLITUS","51","3"
"2011","",,"DISEASES OF HEART","402","26"
"2011","",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","46","3"
"2011","",,"INFLUENZA AND PNEUMONIA","84","6"
"2011","",,"INTENTIONAL SELF-HARM (SUICIDE)","23","2"
"2011","",,"MALIGNANT NEOPLASMS","454","30"
"2011","",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","18","1"
"2011","",,"PARKINSONS DISEASE","5","0"
"2011","",,"SEPTICEMIA","11","1"
"2011","",,"VIRAL HEPATITIS","6","0"
"2011","",,"ACCIDENTS EXCEPT DRUG POISONING","61","3"
"2011","",,"ALZHEIMERS DISEASE","18","1"
"2011","",,"AORTIC ANEURYSM AND DISSECTION","6","0"
"2011","",,"ASSAULT (HOMICIDE)","9","0"
"2011","",,"ATHEROSCLEROSIS","6","0"
"2011","",,"BENIGN AND UNCERTAIN NEOPLASMS","11","1"
"2011","",,"CEREBROVASCULAR DISEASE","79","4"
"2011","",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","15","1"
"2011","",,"CHRONIC LOWER RESPIRATORY DISEASES","73","4"
"2011","",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","13","1"
"2011","",,"DIABETES MELLITUS","60","3"
"2011","",,"DISEASES OF HEART","452","25"
"2011","",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","37","2"
"2011","",,"INFLUENZA AND PNEUMONIA","94","5"
"2011","",,"INTENTIONAL SELF-HARM (SUICIDE)","50","3"
"2011","",,"MALIGNANT NEOPLASMS","550","30"
"2011","",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","11","1"
"2011","",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","17","1"
"2011","",,"PARKINSONS DISEASE","11","1"
